index,ys,fs,parent_a,parent_b
51,0.5181665420532227,0.32857900857925415,604 原始基因（图节点 #578）,604 原始基因（图节点 #171）
52,1.102694034576416,0.9072722792625427,604 原始基因（图节点 #317）,604 原始基因（图节点 #377）
53,1.5336742401123047,0.6136640310287476,604 原始基因（图节点 #317）,604 原始基因（图节点 #377）
54,0.6261522173881531,1.1168125867843628,604 原始基因（图节点 #445）,604 原始基因（图节点 #552）
55,0.7590118050575256,1.6137953996658325,604 原始基因（图节点 #445）,604 原始基因（图节点 #552）
56,1.046139121055603,0.8017197847366333,604 原始基因（图节点 #78）,604 原始基因（图节点 #359）
57,1.5163987874984741,0.9489377737045288,604 原始基因（图节点 #78）,604 原始基因（图节点 #359）
58,0.5761051774024963,0.15273909270763397,604 原始基因（图节点 #566）,604 原始基因（图节点 #30）
59,1.1741429567337036,2.678241491317749,604 原始基因（图节点 #566）,604 原始基因（图节点 #30）
60,0.5891997814178467,1.609702467918396,604 原始基因（图节点 #549）,604 原始基因（图节点 #149）
61,1.7878485918045044,1.134003758430481,604 原始基因（图节点 #549）,604 原始基因（图节点 #149）
62,1.3790346384048462,0.6372427940368652,604 原始基因（图节点 #599）,604 原始基因（图节点 #52）
63,1.1474031209945679,0.607184886932373,604 原始基因（图节点 #599）,604 原始基因（图节点 #52）
64,0.5084165334701538,0.3939666748046875,604 原始基因（图节点 #56）,604 原始基因（图节点 #58）
65,1.0329372882843018,0.7297952175140381,604 原始基因（图节点 #56）,604 原始基因（图节点 #58）
66,1.396174669265747,0.990287721157074,604 原始基因（图节点 #599）,604 原始基因（图节点 #400）
67,0.6625547409057617,0.6133227348327637,604 原始基因（图节点 #599）,604 原始基因（图节点 #400）
68,0.49024051427841187,0.6316139698028564,604 原始基因（图节点 #464）,604 原始基因（图节点 #408）
69,1.1356972455978394,2.6981232166290283,604 原始基因（图节点 #464）,604 原始基因（图节点 #408）
70,1.3303805589675903,0.4820059537887573,604 原始基因（图节点 #397）,604 原始基因（图节点 #319）
71,1.586710810661316,0.4866589903831482,604 原始基因（图节点 #397）,604 原始基因（图节点 #319）
72,1.3923166990280151,0.4212445318698883,604 原始基因（图节点 #257）,604 原始基因（图节点 #300）
73,0.707270085811615,0.8226536512374878,604 原始基因（图节点 #257）,604 原始基因（图节点 #300）
74,0.7114124894142151,1.406449317932129,604 原始基因（图节点 #454）,604 原始基因（图节点 #463）
75,0.5657440423965454,1.4163166284561157,604 原始基因（图节点 #454）,604 原始基因（图节点 #463）
76,0.6874949336051941,2.088170289993286,604 原始基因（图节点 #330）,604 原始基因（图节点 #364）
77,0.6086788773536682,1.242953896522522,604 原始基因（图节点 #330）,604 原始基因（图节点 #364）
78,0.1043834388256073,0.24343755841255188,604 原始基因（图节点 #434）,604 原始基因（图节点 #163）
79,1.1482658386230469,1.4157527685165405,604 原始基因（图节点 #434）,604 原始基因（图节点 #163）
80,0.981332540512085,2.4590537548065186,604 原始基因（图节点 #425）,604 原始基因（图节点 #391）
81,1.562724232673645,0.5056395530700684,604 原始基因（图节点 #425）,604 原始基因（图节点 #391）
82,1.0574299097061157,0.23082832992076874,604 原始基因（图节点 #334）,604 原始基因（图节点 #372）
83,0.7155961394309998,0.11375290155410767,604 原始基因（图节点 #334）,604 原始基因（图节点 #372）
84,0.6641803979873657,1.3827263116836548,604 原始基因（图节点 #558）,604 原始基因（图节点 #449）
85,1.826603651046753,1.128658652305603,604 原始基因（图节点 #558）,604 原始基因（图节点 #449）
86,1.492660403251648,0.5823830366134644,604 原始基因（图节点 #360）,604 原始基因（图节点 #219）
87,0.7058544754981995,1.2150527238845825,604 原始基因（图节点 #360）,604 原始基因（图节点 #219）
88,0.6894048452377319,1.272692084312439,604 原始基因（图节点 #424）,604 原始基因（图节点 #220）
89,1.1377886533737183,0.6127892732620239,604 原始基因（图节点 #424）,604 原始基因（图节点 #220）
90,0.5926260948181152,0.5931555032730103,604 原始基因（图节点 #254）,604 原始基因（图节点 #158）
