epoch,train_mse_uts,train_mse_fs,full_mae_uts,full_mae_fs,full_score
138,0.06235760,0.20479318,0.16974738,0.30215934,0.47190672
139,0.06206697,0.18616042,0.16873613,0.30234832,0.47108445
140,0.06135617,0.20411852,0.16725568,0.30511326,0.47236894
141,0.06317410,0.20296906,0.16622780,0.30361664,0.46984445
142,0.05853258,0.20903939,0.16624381,0.30267248,0.46891628
143,0.05867931,0.19383824,0.16623059,0.30508077,0.47131136
144,0.06155411,0.19785056,0.16679867,0.30663899,0.47343765
145,0.05764441,0.20297350,0.16811308,0.30273163,0.47084472
146,0.06134896,0.20668273,0.16922052,0.30187720,0.47109772
147,0.06540126,0.19114779,0.16855599,0.30720311,0.47575910
148,0.06023341,0.20213206,0.16815917,0.30688965,0.47504883
149,0.05941825,0.19751503,0.16778751,0.30148122,0.46926872
150,0.06176215,0.19095676,0.16826910,0.30096927,0.46923837
151,0.06201493,0.19427101,0.16928786,0.30011314,0.46940100
152,0.05919239,0.19792120,0.17087027,0.29869556,0.46956584
153,0.05900753,0.19590650,0.17259236,0.29791796,0.47051032
154,0.05846661,0.19720934,0.17257451,0.29757875,0.47015326
155,0.06111813,0.19314621,0.17197961,0.29833606,0.47031567
156,0.05792521,0.19261762,0.17173257,0.29795423,0.46968681
157,0.05978491,0.19174063,0.17025782,0.29691908,0.46717690
158,0.05934806,0.19185315,0.16915834,0.29644084,0.46559918
159,0.06258731,0.20352247,0.16767971,0.29665667,0.46433638
160,0.05961775,0.19155574,0.16641834,0.29583266,0.46225101
161,0.06260704,0.19454384,0.16573288,0.29573232,0.46146519
162,0.06106125,0.18827605,0.16580240,0.29585680,0.46165921
163,0.05895130,0.18114592,0.16577601,0.29525721,0.46103323
164,0.05822786,0.18663783,0.16581281,0.29479989,0.46061270
165,0.05734086,0.19406497,0.16599698,0.29344150,0.45943849
166,0.06153987,0.18435340,0.16659832,0.29242554,0.45902386
167,0.05884345,0.19139422,0.16766723,0.29208919,0.45975642
168,0.06049921,0.18455218,0.17104423,0.29215398,0.46319821
169,0.05668917,0.18672964,0.17552894,0.29146364,0.46699259
170,0.05991426,0.18776874,0.17612274,0.29280236,0.46892510
171,0.06011499,0.18026969,0.17213519,0.29439962,0.46653481
172,0.06312274,0.19736736,0.16740508,0.29015765,0.45756273
173,0.06125486,0.18132648,0.16580951,0.29198688,0.45779639
174,0.05778318,0.18768093,0.16558705,0.29030702,0.45589407
175,0.05988619,0.19047813,0.16570143,0.28737053,0.45307197
176,0.06146869,0.18351874,0.16724421,0.28611603,0.45336024
177,0.06020757,0.19050059,0.17041855,0.28566271,0.45608126
178,0.05828610,0.17833000,0.17210512,0.28484949,0.45695461
179,0.06138337,0.18162765,0.17086715,0.28413522,0.45500237
180,0.06107843,0.17501943,0.16927233,0.28373876,0.45301110
181,0.06069343,0.17694925,0.16805942,0.28333655,0.45139597
182,0.05980532,0.17569186,0.16719267,0.28293130,0.45012397
183,0.06263801,0.20841487,0.16688196,0.28521138,0.45209335
184,0.06008095,0.17785291,0.16825762,0.28170291,0.44996053
185,0.05717121,0.17996337,0.16840364,0.28257760,0.45098124
186,0.06150957,0.19563879,0.16821697,0.28214687,0.45036384
187,0.05932325,0.17734008,0.16746506,0.28185344,0.44931850
188,0.05635107,0.18112087,0.16580571,0.28498328,0.45078899
189,0.05706505,0.17597863,0.16447814,0.28402248,0.44850062
190,0.05832985,0.18508816,0.16302021,0.28172466,0.44474487
191,0.05952422,0.17515276,0.16204192,0.28528500,0.44732691
192,0.05597027,0.18673071,0.16086052,0.28404924,0.44490977
193,0.05738069,0.18184227,0.16064200,0.27959728,0.44023928
194,0.05553811,0.17837730,0.15935291,0.27896407,0.43831699
195,0.05633199,0.17285858,0.15837814,0.28027695,0.43865509
196,0.05764350,0.18659502,0.15781000,0.27585748,0.43366748
197,0.05872044,0.17332059,0.15815218,0.27843082,0.43658300
198,0.05747712,0.17395964,0.15872417,0.28244904,0.44117321
199,0.05225278,0.18855548,0.15841718,0.27618656,0.43460374
200,0.05420694,0.18169484,0.15699485,0.27198452,0.42897937
201,0.05528313,0.16849494,0.15469919,0.27117944,0.42587863
202,0.05586572,0.15997802,0.15252809,0.27086586,0.42339395
203,0.05558707,0.16755199,0.15131348,0.27110332,0.42241681
204,0.05291279,0.16750495,0.15134574,0.27067626,0.42202200
205,0.05137305,0.15579019,0.15202665,0.27076337,0.42279002
