sample_id,teacher_UTS,linear_UTS,residual_true_UTS,residual_pred_UTS,combined_UTS,abs_err_linear_vs_teacher_UTS,abs_err_residual_pred_vs_true_UTS,abs_err_combined_vs_teacher_UTS,teacher_FS,linear_FS,residual_true_FS,residual_pred_FS,combined_FS,abs_err_linear_vs_teacher_FS,abs_err_residual_pred_vs_true_FS,abs_err_combined_vs_teacher_FS,label_UTS,abs_err_combined_vs_label_UTS,abs_err_teacher_vs_label_UTS,label_FS,abs_err_combined_vs_label_FS,abs_err_teacher_vs_label_FS
451,1.1748214960098267,0.8814009796832137,0.2934205163266129,0.20974920690059662,1.0911501865838105,0.2934205163266129,0.0836713094260163,0.0836713094260162,1.3523383140563965,1.534841267947617,-0.18250295389122062,-0.42619845271110535,1.1086428152365118,0.18250295389122062,0.24369549881988473,0.24369549881988473,1.2272742986679077,0.13612411208409725,0.052452802658081055,1.4035934209823608,0.2949506057458491,0.051255106925964355
452,1.1733624935150146,0.814017607469296,0.3593448860457187,0.29192113876342773,1.1059387462327237,0.3593448860457187,0.06742374728229095,0.06742374728229095,1.3990370035171509,1.6112770184987106,-0.21224001498155975,-0.34906792640686035,1.2622090920918503,0.21224001498155975,0.1368279114253006,0.1368279114253006,1.308494210243225,0.2025554640105014,0.13513171672821045,1.6631836891174316,0.40097459702558136,0.26414668560028076
453,0.5618447065353394,0.6457639524202666,-0.08391924588492727,-0.0,0.6457639524202666,0.08391924588492727,0.08391924588492727,0.08391924588492727,2.6796085834503174,1.7900404430027705,0.8895681404475468,0.8793720006942749,2.6694124436970457,0.8895681404475468,0.010196139753271938,0.010196139753271716,0.5156216621398926,0.13014229028037405,0.04622304439544678,2.899935245513916,0.23052280181687035,0.22032666206359863
454,0.9450309872627258,0.6866217291014705,0.2584092581612554,-0.0,0.6866217291014705,0.2584092581612554,0.2584092581612554,0.2584092581612554,1.2183600664138794,1.6166823928762313,-0.3983223264623519,-0.34014350175857544,1.2765388911176558,0.3983223264623519,0.058178824703776444,0.058178824703776444,1.0957058668136597,0.4090841377121892,0.15067487955093384,1.1119511127471924,0.16458777837046346,0.10640895366668701
455,0.6837546825408936,0.7172650623187808,-0.03351037977788729,-0.0,0.7172650623187808,0.03351037977788729,0.03351037977788729,0.03351037977788729,1.3538241386413574,1.4866638522840652,-0.13283971364270775,-0.01359286904335022,1.473070983240715,0.13283971364270775,0.11924684459935753,0.11924684459935753,0.5999325513839722,0.11733251093480868,0.08382213115692139,1.4931340217590332,0.020063038518318255,0.13930988311767578
456,0.6082702279090881,0.7274795057826742,-0.11920927787358604,-0.0,0.7274795057826742,0.11920927787358604,0.11920927787358604,0.11920927787358604,1.522067904472351,1.4433243427496922,0.07874356172265884,0.008122682571411133,1.4514470253211034,0.07874356172265884,0.0706208791512477,0.0706208791512477,0.5995276570320129,0.12795184875066123,0.008742570877075195,1.7747009992599487,0.32325397393884536,0.25263309478759766
457,0.4597729742527008,0.4267680142753605,0.03300495997734032,0.0,0.4267680142753605,0.03300495997734032,0.03300495997734032,0.03300495997734032,1.8770544528961182,2.038456607848396,-0.16140215495227794,-0.3569199740886688,1.6815366337597273,0.16140215495227794,0.19551781913639088,0.19551781913639088,0.4651724398136139,0.038404425538253406,0.005399465560913086,1.748722791671753,0.06718615791202565,0.12833166122436523
458,0.45977193117141724,0.3593846506815734,0.10038728048984386,0.0,0.3593846506815734,0.10038728048984386,0.10038728048984386,0.10038728048984386,1.8770570755004883,2.1148923486213187,-0.23783527312083041,-0.42619845271110535,1.6886938959102133,0.23783527312083041,0.18836317959027493,0.18836317959027493,0.5596052408218384,0.200220590140265,0.09983330965042114,2.1194562911987305,0.4307623952885171,0.2423992156982422
459,0.4597732126712799,0.29200127846765545,0.16777193420362446,0.0,0.29200127846765545,0.16777193420362446,0.16777193420362446,0.16777193420362446,1.8770594596862793,2.191328099172412,-0.3142686394861327,-0.34906792640686035,1.8422601727655517,0.3142686394861327,0.034799286920727646,0.034799286920727646,0.266146719455719,0.02585455901193645,0.1936264932155609,1.791126012802124,0.05113415996342763,0.08593344688415527
460,0.4862382113933563,0.6336112620216441,-0.14737305062828776,-0.0,0.6336112620216441,0.14737305062828776,0.14737305062828776,0.14737305062828776,2.6491291522979736,1.7540608510332523,0.8950683012647214,0.8793720006942749,2.633432851727527,0.8950683012647214,0.015696300570446464,0.015696300570446464,0.5188804268836975,0.11473083513794657,0.032642215490341187,2.609800100326538,0.023632751400989083,0.03932905197143555
