tem,fcr,Al,Zr,Sn,Mo,Cr,Nb,Si,V,Ta,Fe,T1,t1,T2,t2,T3,t3,C1_1,C1_2,C1_3,C2_1,C2_2,C2_3,C3_1,C3_2,C3_3,YS,FS,UTS,imgf,,,,
25,2000,6.5,2,0,1,0,0,0.15,1,0,0,800,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,1215.845,16.43988,1581.12577,0.06414,,,,
25,3000,6.5,2,0,1,0,0,0.15,1,0,0,800,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,1253.824,22.5263221,1631.921938,0.06414,,,,
25,3500,6.5,2,0,1,0,0,0.15,1,0,0,800,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,1299.018,20.658754,1683.680888,0.06414,,,,
350,0,6.5,2,0,1,0,0,0.15,1,0,0,800,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,459.938,27.807,948.0763796,0.06414,,,,
450,0,6.5,2,0,1,0,0,0.15,1,0,0,800,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,446.33,30.604,963.0072525,0.06414,,,,
550,0,6.5,2,0,1,0,0,0.15,1,0,0,800,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,488.056,41.602,775.0534548,0.06414,,,,
25,0,6,4,2,2,0,0,0.1,0,0,0,1050,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,884.18357,20.3353179,1302.130054,0.74305,,,,
25,1500,6,4,2,2,0,0,0.1,0,0,0,1050,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,1012.071,10.2971263,1410.699071,0.74305,,,,
25,2000,6,4,2,2,0,0,0.1,0,0,0,1050,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,1080.189,16.264172,1469.124891,0.74305,,,,
25,2500,6,4,2,2,0,0,0.1,0,0,0,1050,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,1131.799,17.784171,1506.34111,0.74305,,,,
25,3000,6,4,2,2,0,0,0.1,0,0,0,1050,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,1136.685,21.166777,1470.122295,0.74305,,,,
25,3500,6,4,2,2,0,0,0.1,0,0,0,1050,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,1209.621,15.40752,1461.616185,0.74305,,,,
350,0,6,4,2,2,0,0,0.1,0,0,0,1050,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,472.314,25.298,892.3166441,0.74305,,,,
450,0,6,4,2,2,0,0,0.1,0,0,0,1050,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,464.032,24.407,852.3372908,0.74305,,,,
550,0,6,4,2,2,0,0,0.1,0,0,0,1050,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,502.362,42.709,890.3173471,0.74305,,,,
