tem,sr,Al,Zr,Sn,Mo,Cr,Nb,Si,V,Ta,Fe,T1,t1,T2,t2,T3,t3,C1_1,C1_2,C1_3,C2_1,C2_2,C2_3,C3_1,C3_2,C3_3,YS,FS,ID,imgf,UTS
25,2000,6,4,2,2,0,0,0.1,0,0,0,1030,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,1251.614,0.147573739,2-7,0.38760 ,1409.081787
25,2500,6,4,2,2,0,0,0.1,0,0,0,1030,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,1364.023,0.164686615,2-7,0.38760 ,1466.64874
25,3000,6,4,2,2,0,0,0.1,0,0,0,1030,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,1397.537,0.147947718,2-7,0.38760 ,1493.574559
25,4000,6,4,2,2,0,0,0.1,0,0,0,1030,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,1405.862,0.186203934,2-7,0.38760 ,1535.476926
350,0,6,4,2,2,0,0,0.1,0,0,0,1030,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,447.404,0.24407,2-7,0.38760 ,864.1426351
450,0,6,4,2,2,0,0,0.1,0,0,0,1030,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,495.972,0.38705,2-7,0.38760 ,903.9869157
550,0,6,4,2,2,0,0,0.1,0,0,0,1030,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,464.286,0.47191,2-7,0.38760 ,830.4391658
25,0,3,0,3,0,3,0,0,15,0,0,800,0.25,540,12,-1,-1,0,1,0,0,0,1,0,0,0,1021.28,0.378727758,3-1,0.45716 ,1320.033722
25,2000,3,0,3,0,3,0,0,15,0,0,800,0.25,540,12,-1,-1,0,1,0,0,0,1,0,0,0,1634.50913,0.275338332,3-1,0.45716 ,1745.114222
25,3000,3,0,3,0,3,0,0,15,0,0,800,0.25,540,12,-1,-1,0,1,0,0,0,1,0,0,0,1679.424002,0.188269115,3-1,0.45716 ,1759.266855
25,4000,3,0,3,0,3,0,0,15,0,0,800,0.25,540,12,-1,-1,0,1,0,0,0,1,0,0,0,1619.61523,0.163049554,3-1,0.45716 ,1793.936511
350,0,3,0,3,0,3,0,0,15,0,0,800,0.25,540,12,-1,-1,0,1,0,0,0,1,0,0,0,895.79,0.137045,3-1,0.45716 ,1286.702949
450,0,3,0,3,0,3,0,0,15,0,0,800,0.25,540,12,-1,-1,0,1,0,0,0,1,0,0,0,680.064,0.489592,3-1,0.45716 ,1774.1
550,0,3,0,3,0,3,0,0,15,0,0,800,0.25,540,12,-1,-1,0,1,0,0,0,1,0,0,0,675.57,0.567417,3-1,0.45716 ,931.38
25,0,3,0,3,0,3,0,0,15,0,0,930,0.25,540,12,-1,-1,0,1,0,0,0,1,0,0,0,1087.68,0.220768873,3-2,0.55685 ,1388.236162
25,2000,3,0,3,0,3,0,0,15,0,0,930,0.25,540,12,-1,-1,0,1,0,0,0,1,0,0,0,1791.922325,0.28925749,3-2,0.55685 ,1877.471703
25,3000,3,0,3,0,3,0,0,15,0,0,930,0.25,540,12,-1,-1,0,1,0,0,0,1,0,0,0,1952.659486,0.151893537,3-2,0.55685 ,2019.449578
25,4000,3,0,3,0,3,0,0,15,0,0,930,0.25,540,12,-1,-1,0,1,0,0,0,1,0,0,0,1800.70739,0.134386081,3-2,0.55685 ,1981.953553
350,0,3,0,3,0,3,0,0,15,0,0,930,0.25,540,12,-1,-1,0,1,0,0,0,1,0,0,0,879.98,0.221689,3-2,0.55685 ,1457.377408
450,0,3,0,3,0,3,0,0,15,0,0,930,0.25,540,12,-1,-1,0,1,0,0,0,1,0,0,0,844.56,0.491432,3-2,0.55685 ,1767.966667
550,0,3,0,3,0,3,0,0,15,0,0,930,0.25,540,12,-1,-1,0,1,0,0,0,1,0,0,0,642.092,0.567711,3-2,0.55685 ,838.1433333
25,0,3,0,3,0,3,0,0,15,0,0,800,0.25,440,16,-1,-1,1,0,0,0,0,1,0,0,0,1441.1,0.09244429,3-3,0.46383 ,1613.242451
25,2000,3,0,3,0,3,0,0,15,0,0,800,0.25,440,16,-1,-1,1,0,0,0,0,1,0,0,0,1964.996418,0.11496907,3-3,0.46383 ,2172.718466
25,3000,3,0,3,0,3,0,0,15,0,0,800,0.25,440,16,-1,-1,1,0,0,0,0,1,0,0,0,2123.21862,0.093296808,3-3,0.46383 ,2325.920273
25,4000,3,0,3,0,3,0,0,15,0,0,800,0.25,440,16,-1,-1,1,0,0,0,0,1,0,0,0,1895.604304,0.108734678,3-3,0.46383 ,2273.302342
350,0,3,0,3,0,3,0,0,15,0,0,800,0.25,440,16,-1,-1,1,0,0,0,0,1,0,0,0,1231.9,0.088471,3-3,0.46383 ,1547.058662
450,0,3,0,3,0,3,0,0,15,0,0,800,0.25,440,16,-1,-1,1,0,0,0,0,1,0,0,0,1109.62,0.125087,3-3,0.46383 ,1429.997019
550,0,3,0,3,0,3,0,0,15,0,0,800,0.25,440,16,-1,-1,1,0,0,0,0,1,0,0,0,604.666,0.560891,3-3,0.46383 ,893.1333333
25,0,3,0,3,0,3,0,0,15,0,0,800,0.25,560,16,-1,-1,1,0,0,0,0,1,0,0,0,1060.9,0.334168692,3-4,0.62349 ,1349.087478
25,2000,3,0,3,0,3,0,0,15,0,0,800,0.25,560,16,-1,-1,1,0,0,0,0,1,0,0,0,1713.431353,0.206730297,3-4,0.62349 ,1829.400034
25,3500,3,0,3,0,3,0,0,15,0,0,800,0.25,560,16,-1,-1,1,0,0,0,0,1,0,0,0,2130.189401,0.08629809,3-4,0.62349 ,2320.548901
25,4000,3,0,3,0,3,0,0,15,0,0,800,0.25,560,16,-1,-1,1,0,0,0,0,1,0,0,0,1754.216327,0.163783424,3-4,0.62349 ,1791.985433
350,0,3,0,3,0,3,0,0,15,0,0,800,0.25,560,16,-1,-1,1,0,0,0,0,1,0,0,0,838.7,0.217434,3-4,0.62349 ,1366.941977
450,0,3,0,3,0,3,0,0,15,0,0,800,0.25,560,16,-1,-1,1,0,0,0,0,1,0,0,0,760.102,0.49808,3-4,0.62349 ,1774.1
550,0,3,0,3,0,3,0,0,15,0,0,800,0.25,560,16,-1,-1,1,0,0,0,0,1,0,0,0,646.716,0.55313,3-4,0.62349 ,956.93
25,0,3,0,3,0,3,0,0,15,0,0,800,0.25,650,12,-1,-1,1,0,0,0,0,1,0,0,0,824.982,0.826936892,3-5,0.31328 ,1187.708934
25,2000,3,0,3,0,3,0,0,15,0,0,800,0.25,650,12,-1,-1,1,0,0,0,0,1,0,0,0,1485.818276,0.264796712,3-5,0.31328 ,1541.919467
25,3500,3,0,3,0,3,0,0,15,0,0,800,0.25,650,12,-1,-1,1,0,0,0,0,1,0,0,0,1446.775969,0.236825707,3-5,0.31328 ,1579.307342
25,4000,3,0,3,0,3,0,0,15,0,0,800,0.25,650,12,-1,-1,1,0,0,0,0,1,0,0,0,911.1902832,0.293313751,3-5,0.31328 ,928.7000092
350,0,3,0,3,0,3,0,0,15,0,0,800,0.25,650,12,-1,-1,1,0,0,0,0,1,0,0,0,576.354,0.337998,3-5,0.31328 ,1301.4
450,0,3,0,3,0,3,0,0,15,0,0,800,0.25,650,12,-1,-1,1,0,0,0,0,1,0,0,0,599.914,0.347202,3-5,0.31328 ,1286.085787
