epoch,train_mse_uts,train_mse_fs,train_mae_uts,val_mae_uts,train_mae_fs,val_mae_fs,val_score
95,0.06640837,0.19990721,0.17940491,0.16760139,0.31769702,0.31665069,0.48425208
96,0.06377821,0.21006349,0.17808846,0.16544281,0.31420624,0.31795812,0.48340093
97,0.06483763,0.21101746,0.17672579,0.16314448,0.31105766,0.32415143,0.48729591
98,0.06517093,0.20856829,0.17530829,0.16057621,0.31124735,0.33034548,0.49092169
99,0.06573787,0.21847248,0.17436336,0.15868053,0.31320331,0.33649486,0.49517539
100,0.06347878,0.21516210,0.17355862,0.15728121,0.31384635,0.33804125,0.49532245
101,0.06455322,0.21435069,0.17305744,0.15639463,0.31090668,0.33110574,0.48750037
102,0.06430931,0.20719002,0.17187458,0.15415397,0.30916592,0.32460910,0.47876307
103,0.06542982,0.21097495,0.17089543,0.15226614,0.30844387,0.32073140,0.47299755
104,0.06346682,0.21330690,0.16986641,0.15020038,0.30775404,0.31874445,0.46894483
105,0.06721395,0.19229910,0.16931176,0.14897950,0.30724186,0.31834254,0.46732204
106,0.06830225,0.20233533,0.16922601,0.14894749,0.30756390,0.31635046,0.46529795
107,0.06476373,0.21389531,0.16941433,0.14946866,0.30739614,0.31720951,0.46667817
108,0.06241016,0.21560055,0.17025022,0.15123549,0.30824766,0.32333547,0.47457096
109,0.06435672,0.20691149,0.17097142,0.15243363,0.31143439,0.33177200,0.48420563
110,0.06062502,0.21030949,0.17033353,0.15131636,0.31140199,0.32902461,0.48034097
111,0.06500101,0.20254929,0.17016180,0.15117666,0.31057045,0.32394174,0.47511840
112,0.06945690,0.21100138,0.17006408,0.15093340,0.30951077,0.31427437,0.46520777
113,0.06596106,0.20292597,0.17115457,0.15318441,0.31205994,0.31050837,0.46369278
114,0.06491236,0.20314957,0.17391804,0.15773575,0.31121880,0.31216392,0.46989967
115,0.06219525,0.20149522,0.17600901,0.16152048,0.30997059,0.31501818,0.47653866
116,0.06311261,0.21065328,0.17917717,0.16645893,0.31007513,0.32155836,0.48801729
117,0.06839646,0.20985408,0.17794199,0.16504359,0.31245959,0.32987893,0.49492252
118,0.06392819,0.19837050,0.17626046,0.16233769,0.31402519,0.33565900,0.49799669
119,0.06273949,0.20929027,0.17376551,0.15810330,0.30944580,0.32990551,0.48800881
120,0.06470084,0.20863545,0.17302947,0.15669525,0.30489403,0.31906912,0.47576436
121,0.06469347,0.20680100,0.17325045,0.15722349,0.30491233,0.31457272,0.47179621
122,0.06508338,0.21058640,0.17358910,0.15795787,0.30556467,0.31447321,0.47243108
123,0.06381543,0.20794702,0.17402826,0.15867996,0.30335540,0.31661111,0.47529107
124,0.06476570,0.21081363,0.17494950,0.16010386,0.30351841,0.32500350,0.48510736
125,0.06665231,0.21691480,0.17601231,0.16194870,0.30706006,0.33345824,0.49540694
126,0.07019443,0.19933051,0.17777522,0.16511670,0.30765131,0.33393005,0.49904674
127,0.06246722,0.20772259,0.17738086,0.16440371,0.30463010,0.32598031,0.49038401
128,0.06652265,0.21929628,0.17571819,0.16124554,0.30326045,0.31339121,0.47463675
129,0.06433117,0.19198525,0.17386495,0.15811315,0.30753127,0.30716059,0.46527374
130,0.06276540,0.19531411,0.17311917,0.15693207,0.30859435,0.30679038,0.46372245
131,0.06491861,0.20236473,0.17292574,0.15654258,0.30689633,0.30954316,0.46608575
132,0.06048115,0.20554887,0.17315264,0.15682288,0.30656251,0.31546873,0.47229160
133,0.05961349,0.19249523,0.17286181,0.15612033,0.30792961,0.32198077,0.47810110
134,0.06409632,0.20134963,0.17236133,0.15523726,0.30632949,0.31897283,0.47421008
135,0.06214437,0.20744659,0.17325129,0.15665890,0.30439901,0.30809012,0.46474902
136,0.05995299,0.21063443,0.17485446,0.15903397,0.30429149,0.30610758,0.46514155
137,0.06291839,0.20705087,0.17538919,0.15967625,0.30297774,0.30754128,0.46721753
138,0.06559042,0.20308375,0.17442441,0.15811868,0.30158082,0.31052768,0.46864636
139,0.06252488,0.18813297,0.17321400,0.15636458,0.30119467,0.31612816,0.47249274
140,0.06293387,0.20298868,0.17182069,0.15401547,0.30357733,0.32745302,0.48146848
141,0.06379107,0.19993791,0.17077559,0.15189461,0.30338833,0.32739425,0.47928886
142,0.06046651,0.20996051,0.17103246,0.15239520,0.30197379,0.32043725,0.47283246
143,0.05993297,0.19177231,0.17108358,0.15244858,0.30201516,0.31173593,0.46418451
144,0.06161846,0.19586897,0.17170095,0.15357038,0.30480823,0.30681899,0.46038938
145,0.05860179,0.20567012,0.17294827,0.15604629,0.30370304,0.30674312,0.46278940
146,0.06181731,0.21197090,0.17417793,0.15789054,0.30103222,0.31474856,0.47263910
147,0.06542657,0.19388406,0.17356536,0.15711346,0.30490354,0.32845649,0.48556995
148,0.06011651,0.19914930,0.17317560,0.15640953,0.30744329,0.33415610,0.49056563
149,0.06031374,0.19640586,0.17266852,0.15533262,0.30307660,0.32428685,0.47961947
150,0.06272604,0.18897210,0.17298561,0.15587799,0.30024081,0.31264287,0.46852086
151,0.06352788,0.19587398,0.17383772,0.15763667,0.30059773,0.30818477,0.46582144
152,0.06119272,0.20038477,0.17525426,0.16002217,0.29951394,0.31086370,0.47088587
153,0.06131529,0.19889937,0.17685121,0.16283813,0.29918620,0.31306937,0.47590750
154,0.05967539,0.19733748,0.17687257,0.16288652,0.29930496,0.31418464,0.47707115
155,0.06250715,0.19263202,0.17636612,0.16191809,0.29912698,0.31388551,0.47580360
156,0.05864390,0.19303660,0.17622511,0.16161607,0.29889739,0.31358781,0.47520389
157,0.06191632,0.19116424,0.17512159,0.15950517,0.29848897,0.31236649,0.47187166
158,0.05990009,0.19382901,0.17428109,0.15807737,0.29811856,0.31150773,0.46958511
159,0.06405495,0.20438164,0.17280893,0.15577440,0.29784796,0.31202152,0.46779592
160,0.06136850,0.19126871,0.17148624,0.15337579,0.29725254,0.31146312,0.46483891
161,0.06363995,0.19487569,0.17076345,0.15203753,0.29737496,0.30942151,0.46145904
162,0.06139417,0.19681144,0.17077224,0.15209629,0.29747555,0.30995330,0.46204959
163,0.05981461,0.18567967,0.17064318,0.15191376,0.29790691,0.31399319,0.46590695
164,0.06046424,0.19271457,0.17070989,0.15208791,0.29732704,0.31201077,0.46409868
165,0.05866496,0.19971429,0.17095196,0.15255606,0.29675058,0.30750307,0.46005914
166,0.06360807,0.18818593,0.17148127,0.15357392,0.29608431,0.30847993,0.46205385
167,0.06020006,0.18716359,0.17236803,0.15529561,0.29662946,0.31539595,0.47069156
168,0.06162097,0.19173904,0.17556851,0.16064605,0.29708067,0.31941321,0.48005927
169,0.05805383,0.18474224,0.17951722,0.16708080,0.29536796,0.31701291,0.48409371
170,0.05943450,0.18831807,0.18020132,0.16805843,0.29426256,0.30803934,0.47609776
171,0.05956315,0.17664005,0.17684259,0.16271079,0.29685497,0.30375955,0.46647033
172,0.06521188,0.20083773,0.17207059,0.15464602,0.29376689,0.30683613,0.46148215
173,0.06381923,0.18675785,0.17053704,0.15121689,0.29356170,0.32120559,0.47242248
174,0.05932262,0.18412377,0.17046519,0.15074158,0.29633629,0.32826647,0.47900805
175,0.06080035,0.19884482,0.17087786,0.15221930,0.29496655,0.32425433,0.47647363
176,0.06363280,0.18800238,0.17271617,0.15583430,0.29146495,0.31298202,0.46881633
177,0.06222402,0.19190228,0.17635761,0.16194858,0.29024604,0.30341062,0.46535920
178,0.06101988,0.18172021,0.17785579,0.16458288,0.28987068,0.30203930,0.46662217
179,0.06266999,0.18197639,0.17664240,0.16260535,0.28930992,0.30524740,0.46785274
180,0.06322957,0.17466958,0.17484660,0.15960604,0.29019442,0.31386185,0.47346789
181,0.06344715,0.18179272,0.17338774,0.15708601,0.28876406,0.31205297,0.46913898
182,0.06217899,0.17799525,0.17244597,0.15537536,0.28690559,0.30011153,0.45548689
183,0.06359783,0.20973131,0.17226195,0.15508348,0.28669691,0.29893580,0.45401928
184,0.06183280,0.18006581,0.17405176,0.15791354,0.28452641,0.30476871,0.46268225
185,0.05871813,0.18426389,0.17499849,0.15943822,0.28851998,0.31976011,0.47919834
186,0.06393302,0.19536176,0.17558992,0.16038190,0.28752959,0.31607667,0.47645856
187,0.06221156,0.17720911,0.17511877,0.15974379,0.28518498,0.30641317,0.46615696
188,0.05884394,0.18336590,0.17364633,0.15737796,0.28691810,0.29936793,0.45674589
189,0.06023863,0.17843403,0.17290662,0.15630426,0.28676522,0.29921758,0.45552184
190,0.06179802,0.18282127,0.17232600,0.15531711,0.28390253,0.30666348,0.46198060
191,0.06357711,0.18089229,0.17240255,0.15546608,0.28632683,0.31588885,0.47135493
192,0.05938356,0.18711358,0.17239149,0.15547456,0.28782910,0.31917873,0.47465329
193,0.06242771,0.18452984,0.17358005,0.15750597,0.28381491,0.31003737,0.46754335
194,0.05944661,0.17925182,0.17343831,0.15725856,0.28025025,0.29714352,0.45440207
195,0.05994627,0.17707337,0.17349897,0.15736687,0.28071618,0.29165912,0.44902599
196,0.06275050,0.19133285,0.17358336,0.15752457,0.27822000,0.30060089,0.45812546
197,0.06488516,0.17203723,0.17457996,0.15917462,0.28059098,0.31197912,0.47115374
