epoch,train_mse_ys,train_mse_fs,train_mae_ys,val_mae_ys,train_mae_fs,val_mae_fs,val_score
96,0.07988558,0.21006045,0.18321724,0.15371208,0.31420311,0.31795985,0.47167192
97,0.07439477,0.21101670,0.18254764,0.15225916,0.31105566,0.32415205,0.47641121
98,0.07491843,0.20856705,0.18196274,0.15068777,0.31124493,0.33034402,0.48103179
99,0.07867850,0.21847205,0.18165781,0.15032887,0.31320170,0.33649179,0.48682067
100,0.08041479,0.21516098,0.18178616,0.15017042,0.31384689,0.33803919,0.48820961
101,0.07991025,0.21435006,0.18230650,0.15126935,0.31090948,0.33110681,0.48237616
102,0.07522462,0.20719053,0.18221281,0.15106180,0.30916896,0.32461038,0.47567219
103,0.07462394,0.21097498,0.18188709,0.15007021,0.30844504,0.32073218,0.47080238
104,0.07723368,0.21330574,0.18163767,0.14908695,0.30775467,0.31874332,0.46783027
105,0.07902723,0.19229938,0.18157816,0.14936595,0.30724123,0.31833944,0.46770538
106,0.08620185,0.20233442,0.18145803,0.15018062,0.30756360,0.31634673,0.46652736
107,0.08022182,0.21389507,0.18134248,0.15231165,0.30739620,0.31720749,0.46951914
108,0.07365871,0.21560046,0.18097830,0.15279794,0.30824766,0.32333741,0.47613534
109,0.07472200,0.20691325,0.18053287,0.15287256,0.31143308,0.33177698,0.48464954
110,0.07512822,0.21031146,0.18003611,0.15222742,0.31139815,0.32902631,0.48125373
111,0.07760237,0.20254889,0.17983043,0.15276420,0.31056598,0.32393992,0.47670412
112,0.08005272,0.21099901,0.17936489,0.15220281,0.30950940,0.31427297,0.46647578
113,0.08137552,0.20292602,0.17925030,0.15339479,0.31206203,0.31050912,0.46390390
114,0.07236315,0.20315166,0.17936634,0.15526558,0.31121984,0.31216630,0.46743189
115,0.07263065,0.20149569,0.17919132,0.15609340,0.30997187,0.31502220,0.47111560
116,0.07300881,0.21065275,0.17969872,0.15842143,0.31007811,0.32156327,0.47998470
117,0.07531013,0.20985402,0.17848572,0.15665360,0.31246352,0.32988176,0.48653536
118,0.07329092,0.19837099,0.17672762,0.15306422,0.31402788,0.33565888,0.48872310
119,0.07143414,0.20929073,0.17498226,0.14872263,0.30944693,0.32990342,0.47862606
120,0.07342046,0.20863695,0.17398611,0.14607009,0.30489650,0.31906515,0.46513525
121,0.07274786,0.20680092,0.17415592,0.14693332,0.30491343,0.31457141,0.46150473
122,0.07690165,0.21058574,0.17382672,0.14640281,0.30556238,0.31447184,0.46087465
123,0.07344939,0.20794702,0.17421247,0.14707461,0.30335295,0.31661546,0.46369007
124,0.07115465,0.21081291,0.17530243,0.14985673,0.30351800,0.32501408,0.47487082
125,0.07254186,0.21691608,0.17528723,0.15076564,0.30705890,0.33347049,0.48423614
126,0.07931431,0.19933309,0.17614661,0.15315793,0.30764610,0.33393624,0.48709418
127,0.06959908,0.20772156,0.17589141,0.15315507,0.30462325,0.32598346,0.47913854
128,0.08112198,0.21929498,0.17415863,0.14972806,0.30325401,0.31340197,0.46313003
129,0.07668541,0.19198793,0.17315176,0.14707269,0.30752462,0.30716994,0.45424263
130,0.07547933,0.19531262,0.17330571,0.14697132,0.30858433,0.30680013,0.45377144
131,0.07454666,0.20235443,0.17355810,0.14863686,0.30688724,0.30955136,0.45818822
132,0.06903251,0.20554660,0.17353466,0.15080836,0.30655342,0.31547362,0.46628198
133,0.07108868,0.19249564,0.17297076,0.15003277,0.30791950,0.32197380,0.47200657
134,0.07241198,0.20134553,0.17302680,0.15125655,0.30632284,0.31896353,0.47022007
135,0.06769921,0.20743452,0.17441438,0.15491301,0.30439880,0.30808309,0.46299610
136,0.06535736,0.21064211,0.17519398,0.15633307,0.30428997,0.30610615,0.46243922
137,0.07091318,0.20704357,0.17406078,0.15430877,0.30297402,0.30754462,0.46185338
138,0.07226142,0.20308390,0.17190452,0.14990844,0.30158004,0.31053370,0.46044214
139,0.07312799,0.18813111,0.17108066,0.14783838,0.30119476,0.31613210,0.46397048
140,0.07211906,0.20299383,0.17074026,0.14745188,0.30357596,0.32745194,0.47490382
141,0.06875642,0.19993697,0.17054980,0.14634831,0.30338508,0.32739243,0.47374074
142,0.06355562,0.20996308,0.17162387,0.14841960,0.30197331,0.32044005,0.46885966
143,0.06430860,0.19177297,0.17324474,0.15038210,0.30201626,0.31174356,0.46212566
144,0.06930117,0.19586800,0.17439985,0.15144323,0.30480525,0.30683094,0.45827417
145,0.06828131,0.20566578,0.17493531,0.15157834,0.30369672,0.30676129,0.45833963
146,0.06933417,0.21196450,0.17506224,0.15125635,0.30103302,0.31477532,0.46603167
147,0.07380453,0.19388537,0.17370176,0.14810844,0.30490163,0.32846567,0.47657411
148,0.06707618,0.19915134,0.17273703,0.14545080,0.30743220,0.33414569,0.47959650
149,0.06865837,0.19640636,0.17280263,0.14489056,0.30306858,0.32427585,0.46916641
150,0.07463083,0.18897288,0.17314617,0.14631799,0.30023840,0.31264582,0.45896381
151,0.07093650,0.19587564,0.17378597,0.15014824,0.30059558,0.30818772,0.45833597
152,0.06756132,0.20039356,0.17583306,0.15578701,0.29951033,0.31087083,0.46665783
153,0.06651512,0.19890735,0.17751294,0.15871651,0.29918197,0.31308386,0.47180037
154,0.06298079,0.19733877,0.17466605,0.15473472,0.29929990,0.31419781,0.46893252
155,0.06761155,0.19264041,0.17077029,0.14719385,0.29912236,0.31388170,0.46107554
156,0.06394591,0.19304661,0.16864640,0.14273052,0.29889393,0.31357825,0.45630877
157,0.06849744,0.19116804,0.16725753,0.14049403,0.29848805,0.31236166,0.45285569
158,0.06866212,0.19383323,0.16698802,0.14066316,0.29811954,0.31151369,0.45217685
159,0.06763222,0.20439017,0.16738272,0.14129402,0.29784954,0.31203607,0.45333008
160,0.06413889,0.19127150,0.16791476,0.14176811,0.29725316,0.31149462,0.45326273
161,0.06367174,0.19488783,0.16897444,0.14358218,0.29737523,0.30945107,0.45303325
162,0.06799575,0.19683082,0.16933660,0.14454339,0.29747728,0.30996054,0.45450394
163,0.06699896,0.18569666,0.16756330,0.14156553,0.29789725,0.31395942,0.45552495
164,0.06637327,0.19271520,0.16683201,0.14033628,0.29732633,0.31198770,0.45232397
165,0.06728995,0.19970289,0.16689086,0.14019379,0.29676449,0.30753136,0.44772515
166,0.06341495,0.18819354,0.16699891,0.14031909,0.29610291,0.30855349,0.44887258
167,0.06437645,0.18715866,0.16770855,0.14164545,0.29665914,0.31548139,0.45712684
168,0.06429957,0.19175632,0.16913751,0.14550841,0.29710591,0.31947386,0.46498227
169,0.06044644,0.18475482,0.17197265,0.15255111,0.29538369,0.31705225,0.46960336
170,0.06458882,0.18835306,0.17366610,0.15611078,0.29429308,0.30806991,0.46418069
171,0.06617941,0.17665282,0.17016779,0.14904624,0.29690558,0.30380160,0.45284784
172,0.07021391,0.20085700,0.16642785,0.13973114,0.29379436,0.30690426,0.44663540
173,0.07098717,0.18674922,0.16530934,0.13627124,0.29358107,0.32125178,0.45752302
